,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,Train Time (s),Avg. Pred Time (ms)
Logistic Regression,0.9761419893964397,0.529898926718374,0.926931461245162,0.5501266861359619,0.9537094593042619,0.6552847918644933,0.3064899444580078,0.00015433879930113086
Gradient Boosting,0.9728942101752045,0.5267524698273497,0.9303980209134863,0.5437600769099293,0.9541831997289631,0.6477334377126575,90.73627853393555,0.024404130973640456
Decision Tree,0.9666093184930304,0.5218918819218592,0.9272501593490519,0.5334049037649362,0.9272501593490519,0.03923997362239383,2.9097723960876465,0.002864806706732668
Naive Bayes,0.973789543906464,0.527625374867896,0.9308464592927773,0.5455396427061631,0.9684323785788935,0.5616330977883095,0.06397581100463867,0.0036615471689056753
SVM,0.9784066570696254,0.5332089887761641,0.933158994464415,0.5565001169782542,0.9608107206022531,0.5474432899405747,12255.195439815521,52.37321827101166
